date,campaign_id,creative_id,country,os,days_since_launch,impressions_last_7d,spend_usd,impressions,viewable_impressions,clicks,conversions,revenue_usd,video_completions
2026-01-21,20000,500000,ES,Android,2,423854,141.09,31498,23420,247,47,244.5,0
2026-01-21,20000,500004,ES,Android,1,285444,123.82,24125,21497,314,73,373.31,16252
2026-01-21,20000,500000,ES,iOS,2,429560,127.87,25626,22952,181,34,196.4,0
2026-01-21,20000,500004,ES,iOS,1,292245,92.56,17123,14949,235,54,323.06,11091
2026-01-21,20000,500000,JP,Android,2,402724,358.12,52340,41543,382,86,421.98,0
2026-01-21,20000,500004,JP,Android,1,269941,296.43,37335,32518,515,115,617.65,22702
2026-01-21,20000,500000,JP,iOS,2,414967,291.63,40937,31599,277,49,302.66,0
2026-01-21,20000,500004,JP,iOS,1,282543,248.33,25803,21588,309,58,294.68,18299
2026-01-22,20000,500000,CA,Android,3,306382,809.54,137734,116766,1293,254,1362.8,0
2026-01-22,20000,500004,CA,Android,2,208142,589.95,77117,64717,1284,221,1469.0,49837
2026-01-22,20000,500003,CA,Android,0,0,718.31,116715,101133,1679,325,1636.31,0
2026-01-22,20000,500000,CA,iOS,3,322914,469.96,65657,47838,518,99,458.47,0
2026-01-22,20000,500004,CA,iOS,2,204149,427.01,52455,47271,743,147,875.03,36049
2026-01-22,20000,500003,CA,iOS,0,116715,458.81,68267,53746,961,201,1000.17,0
2026-01-22,20000,500000,US,Android,3,367180,110.33,14588,12828,105,20,119.53,0
2026-01-22,20000,500004,US,Android,2,243993,85.72,10054,9140,142,31,180.87,7209
2026-01-22,20000,500003,US,Android,0,184982,100.86,14629,12497,212,42,206.91,0
2026-01-22,20000,500000,US,iOS,3,368380,97.85,12308,11035,84,19,101.76,0
2026-01-22,20000,500004,US,iOS,2,244012,83.53,8981,7433,109,30,180.73,6012
2026-01-22,20000,500003,US,iOS,0,199611,93.2,11559,10317,169,48,320.91,0
2026-01-22,20000,500000,ES,Android,3,349190,97.68,23159,20455,177,29,167.35,0
2026-01-22,20000,500004,ES,Android,2,228868,92.25,17599,14753,247,43,243.91,12451
2026-01-22,20000,500003,ES,Android,0,211170,106.17,22977,19290,356,55,263.78,0
2026-01-22,20000,500000,ES,iOS,3,346723,91.0,20844,17514,157,30,158.13,0
2026-01-22,20000,500004,ES,iOS,2,229344,72.71,13394,10074,158,28,137.3,9335
2026-01-22,20000,500003,ES,iOS,0,234147,96.95,21378,17565,280,56,337.14,0
2026-01-22,20000,500000,JP,Android,3,315227,291.7,42953,32490,294,62,290.69,0
2026-01-22,20000,500004,JP,Android,2,205403,209.89,25411,19675,304,67,312.49,17232
2026-01-22,20000,500003,JP,Android,0,255525,234.39,36989,33152,480,99,637.32,0
2026-01-22,20000,500000,JP,iOS,3,317243,233.94,30418,24603,203,37,174.2,0
2026-01-22,20000,500004,JP,iOS,2,205011,193.79,23777,18085,308,68,310.96,15066
2026-01-22,20000,500003,JP,iOS,0,292514,184.59,26628,24298,346,71,328.55,0
2026-01-23,20000,500000,CA,Android,4,209927,810.02,141738,108307,950,176,924.38,0
2026-01-23,20000,500004,CA,Android,3,151671,633.28,89602,73075,1385,332,1961.42,58905
2026-01-23,20000,500003,CA,Android,1,202427,748.73,118528,108953,1704,325,2086.72,0
2026-01-23,20000,500000,CA,iOS,4,286008,493.35,70788,55469,507,96,460.04,0
2026-01-23,20000,500004,CA,iOS,3,188818,526.43,68102,62526,1116,212,1141.79,46673
2026-01-23,20000,500003,CA,iOS,1,252688,568.22,81545,71242,1304,288,1466.12,0
2026-01-23,20000,500000,US,Android,4,342208,121.75,18281,15014,115,25,125.36,0
2026-01-23,20000,500004,US,Android,3,246866,121.18,15363,13285,224,53,324.96,10348
2026-01-23,20000,500003,US,Android,1,319604,95.6,14209,13038,224,57,377.49,0
2026-01-23,20000,500000,US,iOS,4,348181,99.51,13442,9759,103,21,116.18,0
2026-01-23,20000,500004,US,iOS,3,253248,78.43,8687,7194,129,18,108.04,5766
2026-01-23,20000,500003,US,iOS,1,322254,74.5,9052,7753,153,19,97.61,0
2026-01-23,20000,500000,ES,Android,4,338464,153.18,33649,28952,200,28,163.98,0
2026-01-23,20000,500004,ES,Android,3,244336,133.19,25023,19771,362,67,414.75,15460
2026-01-23,20000,500003,ES,Android,1,308329,147.01,31521,26533,395,68,351.97,0
2026-01-23,20000,500000,ES,iOS,4,351269,105.04,23015,17625,167,22,103.72,0
2026-01-23,20000,500004,ES,iOS,3,255965,102.5,16487,14165,227,32,166.84,10686
2026-01-23,20000,500003,ES,iOS,1,318472,75.93,16638,13559,190,31,171.38,0
2026-01-23,20000,500000,JP,Android,4,331331,309.52,45138,37784,243,63,284.96,0
2026-01-23,20000,500004,JP,Android,3,247041,271.06,30020,24538,395,81,470.12,19850
2026-01-23,20000,500003,JP,Android,1,298121,279.73,41904,35084,559,134,760.96,0
2026-01-23,20000,500000,JP,iOS,4,346051,240.21,33955,30382,190,36,195.78,0
2026-01-23,20000,500004,JP,iOS,3,253284,224.96,25556,20317,323,54,284.27,16417
2026-01-23,20000,500003,JP,iOS,1,313397,180.33,25817,23204,320,64,344.53,0
2026-01-24,20000,500000,CA,Android,5,238268,901.01,163061,143647,966,217,1190.98,0
2026-01-24,20000,500004,CA,Android,4,189238,716.94,94726,71393,1219,279,1390.85,63490
2026-01-24,20000,500003,CA,Android,2,220686,667.79,119590,100704,1755,357,2312.77,0
2026-01-24,20000,500000,CA,iOS,5,330541,519.27,81234,61440,486,93,428.63,0
2026-01-24,20000,500004,CA,iOS,4,215862,546.19,66553,59207,869,149,740.18,48399
2026-01-24,20000,500003,CA,iOS,2,258731,588.27,88804,69055,1192,246,1241.83,0
2026-01-24,20000,500000,US,Android,5,393494,105.16,14203,10720,103,22,117.86,0
2026-01-24,20000,500004,US,Android,4,267052,102.75,12098,10862,185,32,202.94,7887
2026-01-24,20000,500003,US,Android,2,333326,131.53,19129,14862,296,59,372.86,0
2026-01-24,20000,500000,US,iOS,5,394255,101.86,12991,10110,72,16,81.19,0
2026-01-24,20000,500004,US,iOS,4,270463,74.74,7785,7122,105,15,94.87,5257
2026-01-24,20000,500003,US,iOS,2,343403,80.35,9444,7459,123,24,142.16,0
2026-01-24,20000,500000,ES,Android,5,373597,147.84,35391,25501,198,35,202.47,0
2026-01-24,20000,500004,ES,Android,4,253225,113.35,22159,16028,300,55,273.2,14895
2026-01-24,20000,500003,ES,Android,2,321326,145.87,32277,28490,395,69,376.04,0
2026-01-24,20000,500000,ES,iOS,5,385973,112.75,23919,18164,118,16,102.93,0
2026-01-24,20000,500004,ES,iOS,4,258897,125.14,21137,15883,244,46,222.35,14215
2026-01-24,20000,500003,ES,iOS,2,336965,99.38,20916,17582,291,48,264.53,0
2026-01-24,20000,500000,JP,Android,5,364754,355.07,55860,40691,317,68,440.33,0
2026-01-24,20000,500004,JP,Android,4,250014,262.43,31486,25678,379,86,506.41,19260
2026-01-24,20000,500003,JP,Android,2,315977,265.15,46252,40728,531,123,575.35,0
2026-01-24,20000,500000,JP,iOS,5,386659,203.54,29533,22672,163,25,162.37,0
2026-01-24,20000,500004,JP,iOS,4,255944,197.08,20164,15201,237,47,218.3,13580
2026-01-24,20000,500003,JP,iOS,2,336412,244.24,33220,25750,396,69,356.45,0
2026-01-25,20000,500000,CA,Android,6,253131,665.64,101013,91543,547,86,481.16,0
2026-01-25,20000,500004,CA,Android,5,181382,651.94,91217,82710,1141,213,1011.27,61186
2026-01-25,20000,500003,CA,Android,3,250042,609.32,102964,85118,1429,275,1545.55,0
2026-01-25,20000,500000,CA,iOS,6,272910,542.13,85765,62290,375,74,489.54,0
2026-01-25,20000,500004,CA,iOS,5,206046,591.48,70560,58363,735,138,797.13,48484
2026-01-25,20000,500003,CA,iOS,3,264202,480.05,72780,64588,945,183,913.05,0
2026-01-25,20000,500000,US,Android,6,344472,111.11,16795,13219,78,19,117.56,0
2026-01-25,20000,500004,US,Android,5,264508,124.93,15635,13519,155,35,233.33,9546
2026-01-25,20000,500003,US,Android,3,317853,108.33,15995,12227,215,36,188.47,0
2026-01-25,20000,500000,US,iOS,6,348276,73.6,9991,8654,44,8,46.11,0
2026-01-25,20000,500004,US,iOS,5,272358,72.68,7643,6550,93,20,105.24,5033
2026-01-25,20000,500003,US,iOS,3,324404,103.29,14196,12491,168,24,150.98,0
2026-01-25,20000,500000,ES,Android,6,322876,112.83,25664,22725,82,12,71.13,0
2026-01-25,20000,500004,ES,Android,5,257842,140.85,25436,19454,299,39,196.75,17748
2026-01-25,20000,500003,ES,Android,3,306323,143.5,30606,25190,410,83,403.21,0
2026-01-25,20000,500000,ES,iOS,6,324621,78.7,16433,15073,78,12,65.74,0
2026-01-25,20000,500004,ES,iOS,5,262141,89.44,14546,11386,145,22,118.01,9907
2026-01-25,20000,500003,ES,iOS,3,316013,75.97,15953,11678,198,38,203.5,0
2026-01-25,20000,500000,JP,Android,6,285194,237.93,38641,28033,165,32,209.98,0
2026-01-25,20000,500004,JP,Android,5,245201,248.17,31647,24293,324,59,357.89,20582
2026-01-25,20000,500003,JP,Android,3,285714,287.15,42074,35550,531,95,555.33,0
2026-01-25,20000,500000,JP,iOS,6,294302,215.08,28867,23714,118,26,126.94,0
2026-01-25,20000,500004,JP,iOS,5,256684,205.25,24870,19139,265,48,308.95,16410
2026-01-25,20000,500003,JP,iOS,3,294568,221.12,32306,29349,326,55,270.46,0
2026-01-26,20000,500000,CA,Android,7,222156,671.96,108171,87985,555,110,642.94,0
2026-01-26,20000,500004,CA,Android,6,190337,474.05,67515,53539,742,149,987.25,44051
2026-01-26,20000,500003,CA,Android,4,223910,735.1,118409,107709,1539,276,1608.82,0
2026-01-26,20000,500000,CA,iOS,7,244562,515.3,73680,59077,353,61,404.9,0
2026-01-26,20000,500004,CA,iOS,6,187292,390.45,43676,38339,401,74,451.2,27055
2026-01-26,20000,500003,CA,iOS,4,269539,397.82,63831,58694,676,106,634.84,0
2026-01-26,20000,500000,US,Android,7,301447,88.51,12320,10143,52,17,79.7,0
2026-01-26,20000,500004,US,Android,6,215333,90.37,10505,9307,123,32,175.79,6436
2026-01-26,20000,500003,US,Android,4,317375,105.04,14461,10924,248,29,149.47,0
2026-01-26,20000,500000,US,iOS,7,303776,79.27,10764,9383,44,9,55.76,0
2026-01-26,20000,500004,US,iOS,6,218195,70.48,7196,6123,66,13,66.74,4614
2026-01-26,20000,500003,US,iOS,4,317640,87.22,11024,9873,164,30,144.36,0
2026-01-26,20000,500000,ES,Android,7,288876,119.08,26866,19378,107,21,103.68,0
2026-01-26,20000,500004,ES,Android,6,199955,81.76,14487,12261,144,26,148.01,10019
2026-01-26,20000,500003,ES,Android,4,298058,120.0,27812,20114,303,49,283.24,0
2026-01-26,20000,500000,ES,iOS,7,299309,91.75,20032,15619,75,16,88.56,0
2026-01-26,20000,500004,ES,iOS,6,199896,67.04,12233,9383,103,18,118.92,8069
2026-01-26,20000,500003,ES,iOS,4,309917,78.71,16756,13247,168,31,171.1,0
2026-01-26,20000,500000,JP,Android,7,280700,237.04,36955,28799,150,39,214.03,0
2026-01-26,20000,500004,JP,Android,6,180482,209.22,26659,21322,225,37,197.22,17110
2026-01-26,20000,500003,JP,Android,4,284599,226.31,34043,29741,378,77,463.19,0
2026-01-26,20000,500000,JP,iOS,7,288788,177.41,26203,22176,107,16,96.67,0
2026-01-26,20000,500004,JP,iOS,6,182271,150.99,17108,13330,147,26,170.01,10941
2026-01-26,20000,500003,JP,iOS,4,286336,196.84,26051,20670,290,53,350.65,0
2026-01-27,20000,500000,CA,Android,8,206820,522.17,82149,68375,298,50,301.22,0
2026-01-27,20000,500004,CA,Android,7,131864,497.22,71602,60148,758,147,719.13,46147
2026-01-27,20000,500003,CA,Android,5,193978,556.31,100029,85814,1156,205,1208.48,0
2026-01-27,20000,500000,CA,iOS,8,215289,425.36,62815,54640,209,52,286.93,0
2026-01-27,20000,500004,CA,iOS,7,159790,515.22,68336,51470,724,145,881.7,44160
2026-01-27,20000,500003,CA,iOS,5,230176,492.44,76271,63991,786,150,875.42,0
2026-01-27,20000,500000,US,Android,8,265784,80.34,11263,9238,48,6,38.72,0
2026-01-27,20000,500004,US,Android,7,217621,85.68,10417,7869,106,22,113.83,6976
2026-01-27,20000,500003,US,Android,5,291986,90.49,12342,10153,136,26,140.33,0
2026-01-27,20000,500000,US,iOS,8,266283,63.87,7981,5772,46,7,38.13,0
2026-01-27,20000,500004,US,iOS,7,220842,73.72,8237,5974,73,11,59.38,5350
2026-01-27,20000,500003,US,iOS,5,293304,75.91,9723,8460,104,25,113.21,0
2026-01-27,20000,500000,ES,Android,8,247398,98.5,22647,18736,81,12,62.29,0
2026-01-27,20000,500004,ES,Android,7,214592,101.01,18003,13377,142,22,113.7,12469
2026-01-27,20000,500003,ES,Android,5,275215,124.03,28892,23862,316,55,338.47,0
2026-01-27,20000,500000,ES,iOS,8,250013,75.23,16127,14526,49,14,66.72,0
2026-01-27,20000,500004,ES,iOS,7,220362,88.99,16111,12520,157,31,191.01,11360
2026-01-27,20000,500003,ES,iOS,5,287351,82.12,16944,13879,150,24,148.96,0
2026-01-27,20000,500000,JP,Android,8,229185,210.0,30307,21999,121,31,148.54,0
2026-01-27,20000,500004,JP,Android,7,209814,244.91,29316,22886,230,51,268.07,18511
2026-01-27,20000,500003,JP,Android,5,270252,271.5,39681,35671,331,80,385.12,0
2026-01-27,20000,500000,JP,iOS,8,233289,188.0,26604,24393,80,16,97.25,0
2026-01-27,20000,500004,JP,iOS,7,222022,224.02,26060,19116,223,39,238.65,17251
2026-01-27,20000,500003,JP,iOS,5,283882,183.33,23976,21763,253,50,288.61,0
2026-01-28,20000,500000,CA,Android,9,177744,348.95,57850,45317,198,37,186.12,0
2026-01-28,20000,500004,CA,Android,8,176480,354.35,50679,45803,452,83,441.1,30890
2026-01-28,20000,500003,CA,Android,6,207829,357.52,61018,53717,594,98,627.57,0
2026-01-28,20000,500005,CA,Android,0,0,382.97,57295,50632,848,195,1255.0,41234
2026-01-28,20000,500000,CA,iOS,9,172779,253.85,43724,33675,160,30,170.51,0
2026-01-28,20000,500004,CA,iOS,8,158823,295.86,39209,35592,335,63,343.94,25420
2026-01-28,20000,500003,CA,iOS,6,192576,289.39,42434,36537,416,96,479.86,0
2026-01-28,20000,500005,CA,iOS,0,57295,298.39,39616,32309,568,110,619.76,27584
2026-01-28,20000,500000,US,Android,9,205240,79.74,12028,9448,50,10,56.77,0
2026-01-28,20000,500004,US,Android,8,187615,54.75,6015,5501,51,13,65.5,3826
2026-01-28,20000,500003,US,Android,6,222668,70.92,10076,7276,95,23,149.08,0
2026-01-28,20000,500005,US,Android,0,96911,62.1,7660,6217,111,26,153.42,5512
2026-01-28,20000,500000,US,iOS,9,209287,46.91,6503,5054,23,3,19.93,0
2026-01-28,20000,500004,US,iOS,8,185393,38.91,4199,3329,41,11,66.54,2742
2026-01-28,20000,500003,US,iOS,6,223021,49.47,6702,5115,69,13,78.8,0
2026-01-28,20000,500005,US,iOS,0,104571,41.48,4323,3502,55,12,77.69,2876
2026-01-28,20000,500000,ES,Android,9,193143,76.27,18373,14804,46,6,30.92,0
2026-01-28,20000,500004,ES,Android,8,171589,64.34,12138,10701,92,20,95.46,8049
2026-01-28,20000,500003,ES,Android,6,200831,69.69,15897,14281,148,17,93.91,0
2026-01-28,20000,500005,ES,Android,0,108894,72.0,14548,12311,217,56,266.22,10168
2026-01-28,20000,500000,ES,iOS,9,195389,66.84,14019,11758,37,8,51.52,0
2026-01-28,20000,500004,ES,iOS,8,167616,48.39,8190,6160,67,14,74.48,4934
2026-01-28,20000,500003,ES,iOS,6,199784,54.65,11468,9923,101,20,103.78,0
2026-01-28,20000,500005,ES,iOS,0,123442,57.05,10198,8981,168,27,132.21,7157
2026-01-28,20000,500000,JP,Android,9,179101,144.27,24437,19192,83,13,62.4,0
2026-01-28,20000,500004,JP,Android,8,146490,170.37,20979,15152,180,43,218.53,14069
2026-01-28,20000,500003,JP,Android,6,171571,167.78,25666,20739,219,35,229.28,0
2026-01-28,20000,500005,JP,Android,0,133640,158.17,18959,15806,239,57,327.1,13624
2026-01-28,20000,500000,JP,iOS,9,176934,140.15,19230,16415,47,11,67.15,0
2026-01-28,20000,500004,JP,iOS,8,141409,105.73,11709,9616,120,23,120.96,7990
2026-01-28,20000,500003,JP,iOS,6,173261,107.65,16085,13846,139,25,164.98,0
2026-01-28,20000,500005,JP,iOS,0,152599,136.08,14182,12713,169,38,203.61,9655
2026-01-29,20000,500000,CA,Android,10,138314,432.54,76667,65028,235,51,235.57,0
2026-01-29,20000,500004,CA,Android,9,102439,500.98,64667,58892,537,116,777.37,42286
2026-01-29,20000,500003,CA,Android,7,128328,608.57,97749,84743,985,175,1162.96,0
2026-01-29,20000,500005,CA,Android,1,109486,574.04,80238,58511,1256,252,1294.15,60346
2026-01-29,20000,500000,CA,iOS,10,171257,346.62,51199,41664,171,25,134.3,0
2026-01-29,20000,500004,CA,iOS,9,127897,307.82,43607,39200,315,67,338.23,31231
2026-01-29,20000,500003,CA,iOS,7,183643,422.01,63568,56346,662,161,1010.79,0
2026-01-29,20000,500005,CA,iOS,1,150108,348.44,42018,33338,569,110,731.81,31127
2026-01-29,20000,500000,US,Android,10,210428,64.61,8774,7354,32,6,32.74,0
2026-01-29,20000,500004,US,Android,9,165489,63.97,7623,6334,78,18,89.08,5076
2026-01-29,20000,500003,US,Android,7,237135,74.75,11101,8377,106,19,103.92,0
2026-01-29,20000,500005,US,Android,1,184466,78.12,9639,7356,147,35,176.57,6648
2026-01-29,20000,500000,US,iOS,10,212699,50.61,6383,5288,18,2,13.29,0
2026-01-29,20000,500004,US,iOS,9,168913,54.71,5552,4419,43,7,34.28,3652
2026-01-29,20000,500003,US,iOS,7,241534,70.54,9194,8042,78,17,90.62,0
2026-01-29,20000,500005,US,iOS,1,189782,68.48,7692,5546,142,34,186.62,5202
2026-01-29,20000,500000,ES,Android,10,200709,72.25,17506,15372,52,12,61.62,0
2026-01-29,20000,500004,ES,Android,9,162327,74.04,14284,10494,124,27,170.31,8860
2026-01-29,20000,500003,ES,Android,7,234831,96.03,22958,18277,193,31,194.79,0
2026-01-29,20000,500005,ES,Android,1,182926,92.26,17987,15170,247,40,253.27,13240
2026-01-29,20000,500000,ES,iOS,10,204196,62.47,13256,11475,38,11,63.44,0
2026-01-29,20000,500004,ES,iOS,9,168421,55.86,10071,8137,71,10,55.06,6567
2026-01-29,20000,500003,ES,iOS,7,246321,78.2,16634,12385,171,19,103.09,0
2026-01-29,20000,500005,ES,iOS,1,190715,63.4,10688,8311,184,48,318.14,7624
2026-01-29,20000,500000,JP,Android,10,193015,164.06,25148,22370,54,10,48.66,0
2026-01-29,20000,500004,JP,Android,9,157513,159.42,18490,15909,141,33,211.44,12194
2026-01-29,20000,500003,JP,Android,7,237289,239.44,36257,30919,262,44,198.67,0
2026-01-29,20000,500005,JP,Android,1,182444,176.17,19886,17418,259,61,276.62,13249
2026-01-29,20000,500000,JP,iOS,10,198933,139.86,19929,16592,54,11,58.79,0
2026-01-29,20000,500004,JP,iOS,9,164294,109.52,12513,11164,69,10,53.01,8089
2026-01-29,20000,500003,JP,iOS,7,257461,152.38,22255,19937,168,30,136.18,0
2026-01-29,20000,500005,JP,iOS,1,188148,147.01,16527,12274,190,29,147.95,11076
2026-01-30,20000,500000,CA,Android,11,142195,349.63,58257,48135,151,25,138.66,0
2026-01-30,20000,500004,CA,Android,10,112140,350.44,48615,40856,397,81,423.54,31506
2026-01-30,20000,500003,CA,Android,8,181967,410.27,66628,57020,629,89,558.22,0
2026-01-30,20000,500005,CA,Android,2,124437,292.64,40356,34742,646,117,774.4,29808
2026-01-30,20000,500001,CA,Android,0,0,436.13,58191,52581,919,194,1293.06,38492
2026-01-30,20000,500000,CA,iOS,11,149253,306.55,43586,39441,112,22,135.22,0
2026-01-30,20000,500004,CA,iOS,10,117148,246.61,31428,27303,224,41,196.59,20313
2026-01-30,20000,500003,CA,iOS,8,185027,254.71,40909,29563,351,49,239.37,0
2026-01-30,20000,500005,CA,iOS,2,122775,253.55,31972,26244,483,90,514.75,24657
2026-01-30,20000,500001,CA,iOS,0,58191,369.3,49912,38637,690,174,1034.07,32223
2026-01-30,20000,500000,US,Android,11,184065,56.57,8278,7096,26,1,6.59,0
2026-01-30,20000,500004,US,Android,10,140953,48.0,5766,4476,41,11,52.32,3645
2026-01-30,20000,500003,US,Android,8,214835,58.99,8984,7401,84,15,86.43,0
2026-01-30,20000,500005,US,Android,2,145108,44.96,5551,4756,108,21,105.62,3857
2026-01-30,20000,500001,US,Android,0,108103,64.8,7351,6617,116,32,199.29,4939
2026-01-30,20000,500000,US,iOS,11,185960,33.75,4474,3771,15,1,4.71,0
2026-01-30,20000,500004,US,iOS,10,141167,41.79,4740,4060,34,15,90.46,3300
2026-01-30,20000,500003,US,iOS,8,214625,45.61,6236,5550,52,9,54.26,0
2026-01-30,20000,500005,US,iOS,2,142967,36.7,4362,3185,71,10,63.82,3270
2026-01-30,20000,500001,US,iOS,0,115454,38.91,3952,3620,72,23,133.21,2640
2026-01-30,20000,500000,ES,Android,11,172928,50.0,11128,9640,20,4,23.18,0
2026-01-30,20000,500004,ES,Android,10,131623,67.25,12655,11040,88,22,101.3,7740
2026-01-30,20000,500003,ES,Android,8,197903,68.13,16093,13562,146,29,158.03,0
2026-01-30,20000,500005,ES,Android,2,129342,62.54,12170,10767,210,34,165.63,8106
2026-01-30,20000,500001,ES,Android,0,119406,58.94,12142,10869,160,40,218.07,8025
2026-01-30,20000,500000,ES,iOS,11,170800,52.31,11464,9061,28,8,36.5,0
2026-01-30,20000,500004,ES,iOS,10,134207,56.87,9271,7873,73,12,73.8,5668
2026-01-30,20000,500003,ES,iOS,8,197362,44.45,9087,7971,60,9,54.78,0
2026-01-30,20000,500005,ES,iOS,2,130824,46.71,8262,5991,117,14,93.52,5969
2026-01-30,20000,500001,ES,iOS,0,131548,67.23,11284,9795,175,47,224.85,7677
2026-01-30,20000,500000,JP,Android,11,157116,167.28,24880,20200,74,16,96.37,0
2026-01-30,20000,500004,JP,Android,10,124988,133.62,17042,15627,102,18,82.35,11551
2026-01-30,20000,500003,JP,Android,8,170192,136.86,22628,18512,168,34,190.51,0
2026-01-30,20000,500005,JP,Android,2,119200,160.75,18052,16601,248,41,260.7,13087
2026-01-30,20000,500001,JP,Android,0,142832,184.46,22548,16687,286,73,417.09,16035
2026-01-30,20000,500000,JP,iOS,11,162067,92.74,12434,11265,22,4,20.82,0
2026-01-30,20000,500004,JP,iOS,10,129517,98.22,11339,8731,78,19,92.07,7537
2026-01-30,20000,500003,JP,iOS,8,170565,124.27,16742,14639,128,28,171.26,0
2026-01-30,20000,500005,JP,iOS,2,120725,109.09,11565,8524,136,25,137.07,8323
2026-01-30,20000,500001,JP,iOS,0,165380,110.15,12974,10820,154,38,200.39,8858
2026-01-31,20000,500000,CA,Android,12,116244,493.09,91245,71861,272,38,179.13,0
2026-01-31,20000,500004,CA,Android,11,92241,436.68,57010,43050,392,76,451.08,38278
2026-01-31,20000,500003,CA,Android,9,120679,462.26,80120,67700,670,114,690.7,0
2026-01-31,20000,500005,CA,Android,3,91934,522.75,68322,50806,1052,229,1479.48,50214
2026-01-31,20000,500001,CA,Android,1,120163,617.6,78084,60703,1249,300,1953.85,50208
2026-01-31,20000,500000,CA,iOS,12,163903,364.47,53735,39530,128,22,122.89,0
2026-01-31,20000,500004,CA,iOS,11,117823,364.95,45771,41883,313,58,324.97,28019
2026-01-31,20000,500003,CA,iOS,9,159890,467.96,66085,56595,492,97,602.1,0
2026-01-31,20000,500005,CA,iOS,3,128284,461.6,59035,53325,784,161,1017.38,42889
2026-01-31,20000,500001,CA,iOS,1,148335,405.75,53273,43481,779,184,1031.84,34636
2026-01-31,20000,500000,US,Android,12,209360,62.84,8885,6550,21,5,29.25,0
2026-01-31,20000,500004,US,Android,11,157828,68.79,8066,5921,59,10,54.3,5515
2026-01-31,20000,500003,US,Android,9,216991,80.29,13109,11360,100,21,107.83,0
2026-01-31,20000,500005,US,Android,3,181768,62.97,7487,6672,105,25,149.77,5170
2026-01-31,20000,500001,US,Android,1,194257,62.86,7262,5473,115,26,170.44,4898
2026-01-31,20000,500000,US,iOS,12,213771,50.52,7134,5871,22,6,32.38,0
2026-01-31,20000,500004,US,iOS,11,161154,45.17,5278,4619,40,11,54.48,3559
2026-01-31,20000,500003,US,iOS,9,223864,54.18,6998,6304,64,13,86.9,0
2026-01-31,20000,500005,US,iOS,3,184893,62.19,7338,6280,111,23,154.06,5566
2026-01-31,20000,500001,US,iOS,1,197567,60.78,6805,5710,131,26,134.08,4319
